ClientId,Segment,Language,RequestType,Tone,Priority,HasImageAttachment,SelectedOffice,SelectedManager,AssignmentReason,Summary
fe44694a-10ed-f011-8406-0022481ba5f0,VIP,RU,Consultation,Neutral,4,False,Алматы,Менеджер 18,Assigned by office filter + hard skills + round robin. CandidatePool=4.,Client message: Здравствуйте. Classified as Consultation with Neutral tone.
f79259e3-9cf2-f011-8406-0022481ba51f,Mass,RU,Consultation,Negative,5,False,Астана,Менеджер 39,Assigned by office filter + hard skills + round robin. CandidatePool=8.,Client message: Мои счета заблокированы. Classified as Consultation with Negative tone.
da158b87-f1e9-f011-8406-0022481ba5f0,VIP,RU,Consultation,Neutral,4,False,Усть-Каменогорск,Менеджер 42,Assigned by office filter + hard skills + round robin. CandidatePool=1.,"Client message: Уточните плз за что именно и когда удерживается комиссия 50 долларов
за Обслуживание бездействующих счетов. Classified as Consultation with Neutral tone."
d8dcd8f8-b4eb-f011-8406-0022481ba388,Mass,RU,Consultation,Neutral,4,False,Кокшетау,Менеджер 51,Assigned by office filter + hard skills + round robin. CandidatePool=2.,Client message: Здравствуйте Вы даете доступ к ETF KSA или к прямой торговле на Tadawul. Classified as Consultation with Neutral tone.
cc75c0da-e907-f111-8407-0022481bac13,Mass,ENG,Consultation,Neutral,4,False,Костанай,Менеджер 41,Assigned by office filter + hard skills + round robin. CandidatePool=2.,"Client message: Выгодное предложение на сварочные многофункциональные агрегаты ET-Welding
Поможем подобрать оборудование для Ваших задач. Classified as Consultation with Neutral tone."
c577d3fd-dafc-f011-8406-0022481ba139,Mass,RU,AppFailure,Neutral,8,False,Астана,Менеджер 39,Assigned by office filter + hard skills + round robin. CandidatePool=8.,Client message: добрый день. Classified as AppFailure with Neutral tone.
c27f8c40-1ff5-f011-8406-0022481ba15f,Mass,RU,Consultation,Neutral,4,False,Караганда,Менеджер 17,Assigned by office filter + hard skills + round robin. CandidatePool=2.,"Client message: Клиент хотел войти на свой счет, 
но смска на восстаовление пароля не приходит. Classified as Consultation with Neutral tone."
be5a4633-fe0a-f111-8407-0022481ba5f0,Mass,RU,Consultation,Positive,3,False,Павлодар,Менеджер 6,Assigned by office filter + hard skills + round robin. CandidatePool=3.,Client message: Здравствуйте. Classified as Consultation with Positive tone.
bb54127b-4ef1-f011-8406-0022481ba654,Mass,ENG,Consultation,Neutral,4,False,Астана,Менеджер 22,Assigned by office filter + hard skills + round robin. CandidatePool=6.,Client message: Тюльпаны - срезка. Classified as Consultation with Neutral tone.
ba61a4e7-f0f1-f011-8406-0022481ba51f,VIP,ENG,Consultation,Neutral,4,False,Алматы,Менеджер 11,Assigned by office filter + hard skills + round robin. CandidatePool=3.,"Client message: Смена номера
Напишите пожалуйста на what’s app или позвоните +7ХХХХХХХ33 Отправлено с iPhone. Classified as Consultation with Neutral tone."
b44f142b-78c5-4573-9bde-fe0780b2e028,Mass,ENG,AppFailure,Neutral,8,True,Шымкент,Менеджер 27,Assigned by office filter + hard skills + round robin. CandidatePool=1.,Client message: No text body provided; check attachments.. Classified as AppFailure with Neutral tone.
b135ab3e-b8ef-f011-8406-0022481ba303,Mass,RU,DataChange,Negative,6,False,Шымкент,Менеджер 44,Assigned by office filter + hard skills + round robin. CandidatePool=1.,Client message: Добрый вечер. Classified as DataChange with Negative tone.
a9f07a3d-a905-f111-8407-0022481baec1,Mass,RU,DataChange,Neutral,5,False,Астана,Менеджер 43,Assigned by office filter + hard skills + round robin. CandidatePool=3.,Client message: FW: Смена номера телефона. Classified as DataChange with Neutral tone.
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,VIP,ENG,AppFailure,Neutral,8,True,Павлодар,Менеджер 47,Assigned by nearest-city fallback + hard skills + round robin. CandidatePool=1.,Client message: Добрый день. Classified as AppFailure with Neutral tone.
9c0a1f1e-6702-f111-8407-0022481ba15f,Priority,RU,Consultation,Neutral,4,False,Шымкент,Менеджер 44,Assigned by office filter + hard skills + round robin. CandidatePool=1.,Client message: Добрый день. Classified as Consultation with Neutral tone.
8de250d3-eef5-f011-8406-0022481bac13,Mass,RU,Consultation,Neutral,4,False,Павлодар,Менеджер 47,Assigned by office filter + hard skills + round robin. CandidatePool=3.,Client message: Здравствуйте. Classified as Consultation with Neutral tone.
